Row: 7, Col: 6, Direction: 1, Word: ALUS, Score: 4
Row: 7, Col: 6, Direction: 2, Word: ALUS, Score: 4
Row: 6, Col: 7, Direction: 0, Word: ALUS, Score: 4
Row: 6, Col: 7, Direction: 2, Word: ALUS, Score: 4
Row: 6, Col: 7, Direction: 3, Word: ALUS, Score: 4
Row: 7, Col: 7, Direction: 0, Word: TALUS, Score: 5
Row: 7, Col: 7, Direction: 1, Word: TALUS, Score: 5
Row: 7, Col: 7, Direction: 2, Word: TALUS, Score: 5
Row: 8, Col: 7, Direction: 1, Word: ALUS, Score: 4
Row: 8, Col: 7, Direction: 2, Word: ALUS, Score: 4
Row: 8, Col: 7, Direction: 3, Word: ALUS, Score: 4
Row: 6, Col: 8, Direction: 0, Word: ALUS, Score: 4
Row: 6, Col: 8, Direction: 2, Word: ALUS, Score: 4
Row: 6, Col: 8, Direction: 3, Word: ALUS, Score: 4
Row: 8, Col: 8, Direction: 1, Word: ALUS, Score: 4
Row: 8, Col: 8, Direction: 2, Word: ALUS, Score: 4
Row: 8, Col: 8, Direction: 3, Word: ALUS, Score: 4
Row: 6, Col: 9, Direction: 0, Word: ALUS, Score: 4
Row: 6, Col: 9, Direction: 2, Word: ALUS, Score: 4
Row: 6, Col: 9, Direction: 3, Word: ALUS, Score: 4
Row: 8, Col: 9, Direction: 1, Word: ALUS, Score: 4
Row: 8, Col: 9, Direction: 2, Word: ALUS, Score: 4
Row: 8, Col: 9, Direction: 3, Word: ALUS, Score: 4
Row: 7, Col: 10, Direction: 0, Word: ALUS, Score: 4
Row: 7, Col: 10, Direction: 1, Word: ALUS, Score: 4
Row: 7, Col: 10, Direction: 3, Word: ALUS, Score: 4
Row: 4, Col: 7, Direction: 0, Word: OAT, Score: 3
Row: 7, Col: 7, Direction: 1, Word: TAO, Score: 3
Row: 7, Col: 4, Direction: 2, Word: OAT, Score: 3
Row: 4, Col: 9, Direction: 0, Word: OAR, Score: 3
Row: 7, Col: 4, Direction: 2, Word: OATER, Score: 5
Row: 5, Col: 9, Direction: 0, Word: ORA, Score: 3
